"zipcode","above_poverty","active_commuting","automobile_access","bachelorsed","census_response","clean_enviroment","diesel_PM","economic","education","employed","H2O_contam","healthcare_access","homeownership","house_repair","housing","hpi_score","insured","neighborhood","own_severe","ozone","park_access","per_capita_income","pm25","rent_severe","retail","social","transportation","tree_canopy","uncrowded","voting"
94116,0.849545106708613,0.401413001335459,0.923,0.549933530481022,0.788199364762843,0.817539949302792,0.2284034814881,0.296648833920063,0.148968005014745,0.795,258.7894396,0.0492779136390671,0.695759368836292,0.996365980739885,0.0229170796248173,0.854489393,0.966189502,0.013947660072879,0.0915195227733033,0.032455774694,1,57758,8.6050576426711,0.238354890298254,11.5686455437386,0.136309638579681,0.134717634137408,0.0674501595729,0.964620316,0.878713072068165
94123,0.910182889026658,0.472218917311124,0.758,0.851121654613294,0.643932537944163,0.598994409001725,0.552626758512051,0.772543395195811,0.26322380825859,0.889,269.871476030553,0.064036819692073,0.267484929915026,0.983887370518182,0.00575335038333305,1.297907356,0.987817208,0.0391760601119552,0.117719270241446,0.0293746793649365,1,123576,8.70740774841524,0.1361656348181,46.7101218987063,0.0433856860121494,0.0606020182150438,0.0530624307479748,0.982279033,0.881308381268192
95209,0.737499436403805,0.0234178661183459,0.954,0.221095405133192,0.747706063314499,-0.143635651144783,0.1003116252223,-0.0439547758367441,-0.0718627289727698,0.695,722.50785210208,0.0367027719428029,0.678425125170687,0.981552446263146,0.0158271570110185,-0.034651701,0.949410377,0.00660377627472588,0.0834973087083982,0.045338733831,0.92035180403405,29504,10.56294977501,0.227705561204639,1.47823772150973,0.0465035062690717,-0.0135411149158,0.093542402154,0.945911091,0.796031704569612
95231,0.483630097645032,0.0504754937820044,0.878,0.0682007208206266,0.591099176518656,-0.399193354932749,0.17463337114,-0.586011857828125,-0.0795033211550383,0.384,819.4038828502,-0.0187492004552896,0.508365508365508,0.986497376154492,-0.00075227704553306,-0.927968434,0.836554622,-0.0511897381691064,0.10364193455798,0.04760384255,0.104744677780088,15110,10.81278084133,0.217833354284517,0.735088601214666,-0.120917992027393,-0.0384771231957535,0.0335376281229999,0.828828829,0.711741144723692
95337,0.753386770467874,0.0478697052266535,0.965,0.194919316184694,0.721319540935731,-0.635307405240861,0.169151771268627,-0.0625730116952746,-0.0417187116026004,0.694,983.17846769644,0.0330064744289738,0.646829349269588,0.995288799142681,0.0186138805769607,-0.054384311,0.941468502,0.000807932948306018,0.0786342591361271,0.0494552773547355,0.918930945766447,31346,10.887857890345,0.263839648474293,2.16868597495211,0.026813231233838,0.00484041163635346,0.061754688269827,0.95434927,0.792979612455121
95366,0.77676563202879,0.0185398286664109,0.981,0.232909245122986,0.786940956181326,-0.480911707471715,0.200714899859714,0.0957082218686708,0.0415916375246105,0.759,828.102697888971,0.0220566589549711,0.702200488997555,0.978459486786988,0.0262797835592251,0.279036206,0.926574803,0.00374314497791804,0.0556615593263245,0.0501315937886211,0.862607870785768,37045,10.7249912143976,0.173623225572296,0.965853801130593,0.12852089488943,0.00190203468078913,0.0973993415247475,0.970497148,0.869601786536558
93445,0.679019303931239,0.0641931684334511,0.942,0.161355385235982,0.586114371159015,0.480714803690248,0.156527022764576,0.0346279604615541,-0.063311171038884,0.78,503.155602071447,-0.0406254426880703,0.55889520714866,0.99574736185849,0.00825344835992714,-0.13792869,0.824011572,-0.0448226863996775,0.0370429664895686,0.0380791352725273,0.213390113437088,28626,8.44785644793149,0.343803606756444,1.93421619454512,-0.0699439058689193,-0.00283431126668643,0.030322669829583,0.915515841,0.78275472780251
93453,0.612490302560124,0.0289210233592881,0.917,0.323818897637795,0.445553694370417,0.552773910259828,0.005861379179,0.036429371258418,0.149580472887856,0.512,516.2988109226,0.0574849042751021,0.729752770673487,0.99993640167364,0.0370166936626542,0.17422782,0.953209358,-0.0254046263561585,0.0706613473429875,0.049429870834,0.328677775933301,33422,6.4338670777286,0.219223884992987,0.0799696158396581,-0.0923937961090893,-0.0158639597987951,0.103785373679,0.972719523,0.874403985822117
93465,0.880215195432587,0.0207576543850545,0.985,0.379320987654321,0.692855636873364,0.590994003687156,0.0252899498889,0.169055586899363,0.028672884208475,0.772,578.2128229601,0.0489237496366264,0.751563896336014,0.999674832635983,0.0331651652189956,0.356829847,0.966865079,-0.02481941611077,0.116667385770422,0.044394183802,0.322277920676617,40457,6.3924785284368,0.159790720823433,0.606166569412113,0.0776845921130687,-0.00230243205808105,0.106427258669,0.984212094,0.884076200068488
94063,0.611258551545176,0.109633398866659,0.933,0.301173913043478,0.695825058481697,0.612576361750698,0.3008380108896,0.021714018942828,-0.0431160949307913,0.751,418.73672988736,-0.0212888975118359,0.344416267493191,0.98708974367246,-0.0358313948361292,-0.029598226,0.858293149,-0.00403155425984286,0.16907856018677,0.033847403672,0.722041968304451,36889,7.9912151515584,0.326187435398405,9.24634506062002,0.000574055389875491,0.0134524470703204,0.0640865023625,0.785291631,0.780587380300405
94402,0.899654929025175,0.148555482600131,0.971,0.654690837395257,0.823320311327899,0.71057088879223,0.224567969110589,0.499952701306673,0.142986849919077,0.821,338.864816347915,0.0572565919154462,0.67952211276462,0.987270829766437,0.0240235622352061,1.00492141,0.979223365,0.0285352505971562,0.0806613364020258,0.0339188613478652,0.799095798534425,83904,8.46233144433967,0.183852779597256,13.8313906612895,0.1628672770786,0.0525035594704218,0.188934966589641,0.959861664,0.883232958619901
94005,0.87379679144385,0.153215895124949,1,0.548131988001091,0.770191797095091,0.555129225729422,0.161463653,0.370000465684568,0.0708797568381785,0.817,527.7371044,0.056460527993779,0.749471458773784,1,0.00760162299587384,0.760848663,0.975275643,0.0301769107576649,0.0957095709570956,0.03304924,1,63978,8.564784648,0.371900826446281,2.20404137314308,0.11046627054312,0.0747797900451204,0.187680337,0.905391121,0.860392063900161
95110,0.615102950541286,0.131020247690191,0.936,0.374195880014456,0.655630038277254,0.352436475112445,0.498196847988499,-0.038514950403961,0.0143269961428465,0.724,291.52549,-0.0146386405993272,0.387352986100504,0.974090895123156,-0.0344654479986432,-0.068436001,0.888614047,0.019255098606206,0.124255627832105,0.0397483783408341,0.962949565007651,43039,8.86806289975208,0.328651099291971,23.8755657514154,-0.0535312641412755,0.014387459160315,0.0549723730408041,0.861768749,0.744378849750079
